timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1.74057E+12,1.74066E+12,1.74059E+12,1.74064E+12,0.092204876,0.093611875,0.08406933,0.085530785,68824060.05
1.74048E+12,1.74057E+12,1.74056E+12,1.74052E+12,0.090133027,0.093410967,0.085329662,0.092204876,110477222.8
1.7404E+12,1.74048E+12,1.7404E+12,1.74048E+12,0.098985574,0.099506645,0.090123516,0.090133615,65243726
1.74031E+12,1.7404E+12,1.74035E+12,1.74039E+12,0.100795809,0.101786406,0.097084871,0.098985574,30905779.29
1.74023E+12,1.74031E+12,1.74029E+12,1.74023E+12,0.099393138,0.102427267,0.09832254,0.100795809,36272177.83
1.74014E+12,1.74023E+12,1.74018E+12,1.74021E+12,0.106162463,0.108726053,0.097677807,0.099393138,80812898.67
1.74005E+12,1.74014E+12,1.74007E+12,1.74011E+12,0.106466358,0.109199513,0.103985,0.106162463,39611165.17
1.73997E+12,1.74005E+12,1.74002E+12,1.73997E+12,0.102028703,0.107964442,0.101035422,0.106466358,50007201.33
1.73988E+12,1.73997E+12,1.73989E+12,1.73994E+12,0.104700284,0.106583707,0.097922424,0.102028703,66415596.75
1.73979E+12,1.73988E+12,1.7398E+12,1.73986E+12,0.109028513,0.111989014,0.103967748,0.104700284,71865843.63
1.73971E+12,1.73979E+12,1.73974E+12,1.73971E+12,0.10710026,0.11207177,0.107095302,0.109028513,59766189.83
1.73962E+12,1.73971E+12,1.73967E+12,1.73965E+12,0.106766859,0.110008432,0.105152347,0.107100328,53686449.1
1.73953E+12,1.73962E+12,1.73961E+12,1.73954E+12,0.102353872,0.111753316,0.101450747,0.106766859,96361930.99
1.73945E+12,1.73953E+12,1.73952E+12,1.7395E+12,0.098255726,0.106762797,0.095367759,0.102353872,105255314.4
1.73936E+12,1.73945E+12,1.73944E+12,1.73941E+12,0.095915737,0.100147112,0.089493778,0.098255726,99545650.46
1.73928E+12,1.73936E+12,1.73931E+12,1.73928E+12,0.092945868,0.109939552,0.092827825,0.095915737,124866134.7
1.73919E+12,1.73928E+12,1.73927E+12,1.7392E+12,0.08658759,0.093666833,0.08425452,0.092945868,51251350.49
1.7391E+12,1.73919E+12,1.73915E+12,1.73918E+12,0.08836654,0.090135555,0.082353439,0.08658759,53628116.34
1.73902E+12,1.7391E+12,1.7391E+12,1.73907E+12,0.087378769,0.089062531,0.084949298,0.08836654,43728039.84
1.73893E+12,1.73902E+12,1.73898E+12,1.73896E+12,0.083053384,0.094861052,0.082845314,0.087376416,100229592.3
1.73884E+12,1.73893E+12,1.73885E+12,1.73893E+12,0.092153654,0.093240539,0.081859355,0.083052879,117838249.3
1.73876E+12,1.73884E+12,1.7388E+12,1.73884E+12,0.099159507,0.099922794,0.092070014,0.092151548,74455573.7
1.73867E+12,1.73876E+12,1.73867E+12,1.73875E+12,0.110279652,0.110686533,0.094280778,0.099159507,120812600.5
1.73858E+12,1.73867E+12,1.73858E+12,1.73859E+12,0.115329384,0.115414981,0.075351581,0.110279652,408181127.7
1.7385E+12,1.73858E+12,1.7385E+12,1.73858E+12,0.121893216,0.124381587,0.112308829,0.115329384,119417075
1.73841E+12,1.7385E+12,1.73843E+12,1.7385E+12,0.129820996,0.131012275,0.121622473,0.121893216,49866739.05
1.73832E+12,1.73841E+12,1.73837E+12,1.7384E+12,0.131425411,0.133261156,0.128704006,0.129822463,52389720.7
1.73824E+12,1.73832E+12,1.73829E+12,1.73824E+12,0.122957667,0.134909182,0.122290268,0.131425411,67809851.26
1.73815E+12,1.73824E+12,1.73823E+12,1.73822E+12,0.121478604,0.124679695,0.118782451,0.122954693,68159117
1.73807E+12,1.73815E+12,1.73807E+12,1.73815E+12,0.128128599,0.129154518,0.120441748,0.121478604,60763372.02
1.73798E+12,1.73807E+12,1.73798E+12,1.73801E+12,0.128692559,0.129223537,0.117938308,0.128128599,114786722.6
1.73789E+12,1.73798E+12,1.7379E+12,1.73798E+12,0.131777669,0.133947018,0.128669285,0.128692559,41634980.36
1.73781E+12,1.73789E+12,1.73787E+12,1.73784E+12,0.131618453,0.13439936,0.127945965,0.131777669,50230675.2
1.73772E+12,1.73781E+12,1.73777E+12,1.73773E+12,0.130167258,0.134761483,0.127788761,0.131633778,57906461.35
1.73763E+12,1.73772E+12,1.73769E+12,1.73767E+12,0.130468066,0.133336371,0.125972702,0.130167258,76241727.28
1.73755E+12,1.73763E+12,1.73756E+12,1.7376E+12,0.136204337,0.137594699,0.129365772,0.130468066,59520736.78
1.73746E+12,1.73755E+12,1.73753E+12,1.73748E+12,0.127175796,0.140705402,0.124614998,0.136204337,114919646.8
1.73737E+12,1.73746E+12,1.7374E+12,1.73738E+12,0.124246354,0.134378228,0.122504155,0.127175796,180231943.5
1.73729E+12,1.73737E+12,1.73729E+12,1.73732E+12,0.140705348,0.141270271,0.123075845,0.124245568,232032920.3
1.7372E+12,1.73729E+12,1.73721E+12,1.73726E+12,0.154098264,0.156210801,0.13801962,0.140705348,131710750.3
1.73712E+12,1.7372E+12,1.7372E+12,1.73712E+12,0.145647612,0.154828714,0.145642761,0.154099515,107767289.1
